City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carnarvon,-24.8667,113.6333,20.5,73,0,3.16,AU,1698180592
1,hamilton,39.1834,-84.5333,25.04,51,100,4.63,US,1698180592
2,bethel,41.3712,-73.414,17.47,60,6,0.45,US,1698180592
3,minas de marcona,-15.2119,-75.1103,15.56,87,92,6.94,PE,1698180592
4,blackmans bay,-43.0167,147.3167,9.18,65,73,9.39,AU,1698180593
5,puerto natales,-51.7236,-72.4875,14.25,44,75,11.83,CL,1698180196
6,margaret river,-33.95,115.0667,12.89,54,77,7.59,AU,1698180014
7,edinburgh of the seven seas,-37.0676,-12.3116,13.21,83,99,9.46,SH,1698180196
8,bredasdorp,-34.5322,20.0403,13.08,81,28,1.33,ZA,1698180197
9,tiksi,71.6872,128.8694,-17.61,96,18,5.26,RU,1698180197
10,stanley,54.868,-1.6985,8.76,95,40,2.06,GB,1698180197
11,colonia,50.9333,6.95,12.14,90,0,1.54,DE,1698180197
12,puerto ayora,-0.7393,-90.3518,28.98,89,63,4.02,EC,1698180197
13,balangir,20.7167,83.4833,21.36,85,97,1.19,IN,1698180593
14,mount gambier,-37.8333,140.7667,6.23,88,82,5.0,AU,1698180594
15,yellowknife,62.456,-114.3525,-2.55,78,75,5.66,CA,1698180334
16,lata,40.1629,-8.3327,17.18,98,51,1.85,PT,1698180594
17,west island,-12.1568,96.8225,25.99,83,40,5.14,CC,1698180594
18,ternate,0.8,127.4,27.39,73,100,3.38,ID,1698180485
19,arraial do cabo,-22.9661,-42.0278,26.98,78,0,8.23,BR,1698180499
20,madingou,-4.1536,13.55,23.97,90,100,1.19,CG,1698180594
21,las choapas,17.9333,-94.0833,27.95,76,100,1.52,MX,1698180594
22,samara,53.0,50.0,1.96,75,100,6.34,RU,1698180595
23,coahuayana de hidalgo,18.7,-103.6583,29.97,65,82,2.45,MX,1698180595
24,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1698180595
25,lihue,21.9789,-159.3672,27.58,65,0,2.06,US,1698180595
26,adamstown,-25.066,-130.1015,22.43,80,0,4.29,PN,1698180595
27,wailua homesteads,22.0669,-159.378,27.24,64,0,2.68,US,1698180595
28,melekeok village,7.4957,134.6367,27.31,89,75,1.54,PW,1698180595
29,pisco,-13.7,-76.2167,23.03,68,0,5.14,PE,1698180596
30,iqaluit,63.7506,-68.5145,-0.15,74,75,3.6,CA,1698180596
31,santana,-0.0583,-51.1817,32.1,66,20,4.12,BR,1698180596
32,youghal,51.95,-7.8506,9.19,100,56,1.93,IE,1698180596
33,hithadhoo,-0.6,73.0833,27.51,78,10,7.16,MV,1698180596
34,lake city,30.1897,-82.6393,27.7,41,40,4.12,US,1698180596
35,selkirk,50.1436,-96.8845,5.61,65,92,3.13,CA,1698180596
36,amalapuram,16.5833,82.0167,24.62,81,11,0.84,IN,1698180596
37,susuman,62.7833,148.1667,-17.23,99,99,0.45,RU,1698180597
38,winkler,49.1817,-97.941,7.0,56,45,4.12,CA,1698180597
39,waitangi,-43.9535,-176.5597,13.23,93,100,5.36,NZ,1698180597
40,fortuna,40.5982,-124.1573,17.18,79,75,5.66,US,1698180597
41,mili,6.0815,171.735,29.02,74,62,5.25,MH,1698180597
42,fonte boa,-2.4959,-66.2662,28.14,77,100,1.29,BR,1698180597
43,qaqortoq,60.7167,-46.0333,1.65,49,4,2.62,GL,1698180597
44,axim,4.8699,-2.2405,25.17,88,83,3.16,GH,1698180598
45,remire-montjoly,4.9167,-52.2667,30.02,79,75,2.57,GF,1698180534
46,dudinka,69.4058,86.1778,-6.32,97,100,1.79,RU,1698180598
47,gaiman,-43.2897,-65.4929,21.54,26,94,1.91,AR,1698180591
48,namtsy,62.7161,129.6658,-11.54,97,96,1.82,RU,1698180598
49,belozersk,60.0326,37.7957,1.1,71,8,3.13,RU,1698180598
50,ushuaia,-54.8,-68.3,11.79,62,75,1.54,AR,1698180441
51,flin flon,54.7682,-101.865,-2.09,59,75,3.6,CA,1698180598
52,semera,11.501,41.201,29.59,29,33,4.94,ET,1698180599
53,petawawa,45.9001,-77.3328,12.66,74,100,3.09,CA,1698180599
54,guerrero negro,27.9769,-114.0611,22.46,56,0,6.23,MX,1698180599
55,bonthe,7.5264,-12.505,25.27,89,100,2.81,SL,1698180599
56,turpan,42.9333,89.1667,14.63,40,3,1.97,CN,1698180599
57,namibe,-15.1961,12.1522,18.69,80,64,3.78,AO,1698180599
58,lebu,-37.6167,-73.65,11.34,77,7,9.19,CL,1698180348
59,simanggang,1.2472,111.4528,23.99,100,97,1.03,MY,1698180600
60,san fernando de apure,7.8878,-67.4724,28.92,81,99,1.06,VE,1698180566
61,badger,64.8,-147.5333,-4.8,88,40,0.0,US,1698180600
62,grytviken,-54.2811,-36.5092,1.03,93,84,5.66,GS,1698180600
63,kosh-agach,50.0,88.6667,-2.61,44,73,1.79,RU,1698180600
64,olyokminsk,60.3736,120.4264,0.23,99,100,2.64,RU,1698180600
65,freetown,8.484,-13.2299,27.84,74,75,4.12,SL,1698180600
66,college,64.8569,-147.8028,-4.75,86,40,0.0,US,1698180600
67,slave lake,55.2834,-114.769,-6.01,58,100,6.69,CA,1698180335
68,tual,-5.6667,132.75,26.35,77,12,6.28,ID,1698180601
69,la passe,45.5549,-0.8967,17.21,86,81,10.29,FR,1698180601
70,port-aux-francais,-49.35,70.2167,4.31,91,100,12.05,TF,1698180601
71,el porvenir,13.7617,-87.3458,27.63,84,99,1.0,HN,1698180601
72,albany,42.6001,-73.9662,16.61,54,0,0.89,US,1698180601
73,lazaro cardenas,17.9583,-102.2,28.63,70,100,4.36,MX,1698180601
74,olonkinbyen,70.9221,-8.7187,3.48,92,47,2.0,SJ,1698180602
75,new norfolk,-42.7826,147.0587,9.84,95,99,6.74,AU,1698180602
76,manokwari,-0.8667,134.0833,25.43,71,98,2.1,ID,1698180563
77,invercargill,-46.4,168.35,15.57,79,26,1.34,NZ,1698180602
78,wenchang,30.904,118.4887,18.26,72,99,0.84,CN,1698180603
79,isafjordur,66.0755,-23.124,3.01,85,98,1.21,IS,1698180603
80,klyuchi,52.2667,79.1667,7.25,38,100,8.4,RU,1698180603
81,papatowai,-46.5619,169.4708,14.74,67,2,1.79,NZ,1698180603
82,longyearbyen,78.2186,15.6401,-5.09,80,40,3.09,SJ,1698180604
83,souillac,-20.5167,57.5167,24.21,88,20,2.06,MU,1698180604
84,jamestown,42.097,-79.2353,22.8,26,0,4.12,US,1698180443
85,hermanus,-34.4187,19.2345,14.84,79,25,0.98,ZA,1698180604
86,pangai,-19.8,-174.35,25.06,65,40,6.17,TO,1698180604
87,sukumo,32.9333,132.7333,13.89,86,0,3.37,JP,1698180604
88,hawaiian paradise park,19.5933,-154.9731,29.46,73,100,2.57,US,1698180605
89,oranjemund,-28.55,16.4333,16.07,79,0,7.35,NA,1698180605
90,east london,-33.0153,27.9116,16.61,69,7,6.24,ZA,1698180605
91,alofi,-19.0595,-169.9187,24.94,57,98,7.72,NU,1698180605
92,sicuani,-14.2694,-71.2261,17.79,34,86,4.53,PE,1698180605
93,nogliki,51.8333,143.1667,4.63,85,100,0.89,RU,1698180606
94,afaahiti,-17.75,-149.2833,27.93,77,100,5.98,PF,1698180606
95,alaior,39.9303,4.1404,19.86,60,20,7.72,ES,1698180606
96,ola,59.5833,151.2833,-3.25,92,100,2.79,RU,1698180606
97,ust-tsilma,65.441,52.1498,-4.66,89,34,3.13,RU,1698180606
98,tabora,-5.0167,32.8,25.65,46,100,3.64,TZ,1698180606
99,liwonde,-15.0506,35.2035,29.62,32,13,1.23,MW,1698180607
100,keflavik,64.0049,-22.5624,5.24,81,75,3.09,IS,1698180607
101,pingshan,22.9938,114.7131,22.37,94,47,1.04,CN,1698180607
102,sur,22.5667,59.5289,26.44,71,7,4.88,OM,1698180607
103,el salto,20.3333,-104.5,25.21,38,91,2.67,MX,1698180393
104,isola di capo rizzuto,38.96,17.0933,23.99,66,100,6.21,IT,1698180608
105,mandalgovi,45.7625,106.2708,4.32,46,77,3.6,MN,1698180608
106,weno,7.4515,151.8468,26.97,100,100,0.0,FM,1698180608
107,tsiombe,-25.3,45.4833,22.6,84,52,1.09,MG,1698180608
108,tres arroyos,-38.3739,-60.2798,14.2,42,68,5.02,AR,1698180499
109,myskhako,44.6714,37.7433,13.66,64,45,1.8,RU,1698180608
110,constantia,44.1833,28.65,15.39,72,100,4.67,RO,1698180608
111,vorgashor,67.5833,63.95,-16.01,99,88,2.57,RU,1698180609
112,vila franca do campo,37.7167,-25.4333,21.23,91,94,6.29,PT,1698180609
113,punta arenas,-53.15,-70.9167,13.01,50,75,14.4,CL,1698180563
114,port douglas,-16.4833,145.4667,23.15,74,52,1.97,AU,1698180408
115,pinotepa nacional,16.3167,-98.0167,24.63,94,100,3.04,MX,1698180609
116,crucecita,-28.95,-58.9833,21.77,74,98,4.63,AR,1698180609
117,sao vicente,-23.9631,-46.3919,33.1,62,75,3.13,BR,1698180605
118,santa cruz,-17.8,-63.1667,34.7,43,20,6.17,BO,1698180134
119,praia,14.9215,-23.5087,27.3,78,75,6.69,CV,1698180610
120,myeik,12.4333,98.6,25.42,86,67,0.59,MM,1698180610
121,luwuk,-0.9516,122.7875,24.56,71,98,1.87,ID,1698180457
122,puerto santa,-8.9906,-78.6456,21.19,81,25,5.92,PE,1698180610
123,ust-nera,64.5667,143.2,-19.3,100,100,0.88,RU,1698180611
124,nguruka,-5.1092,31.0419,25.76,35,98,1.18,TZ,1698180611
125,kodiak,57.79,-152.4072,3.73,70,0,0.0,US,1698180611
126,pago pago,-14.2781,-170.7025,28.55,70,75,6.69,AS,1698180611
127,'ain el hadjar,34.7585,0.1453,12.63,85,35,1.92,DZ,1698180611
128,kharp,66.8014,65.8081,-7.22,94,100,3.25,RU,1698180611
129,lorengau,-2.0226,147.2712,27.04,82,100,1.89,PG,1698180612
130,azadshahr,34.7909,48.5707,9.27,46,40,2.06,IR,1698180612
131,crystal city,28.6775,-99.8281,30.06,54,100,5.66,US,1698180612
132,karratha,-20.7377,116.8463,28.47,18,0,6.48,AU,1698180612
133,anadyr,64.75,177.4833,2.28,87,0,4.0,RU,1698180612
134,aioun,16.6614,-9.6149,31.98,24,99,5.11,MR,1698180613
135,tazacorte,28.629,-17.9293,21.54,75,75,3.6,ES,1698180613
136,khandyga,62.6667,135.6,-18.8,100,96,0.7,RU,1698180613
137,berdigestyakh,62.0989,126.6992,-6.72,91,93,3.05,RU,1698180613
138,hasaki,35.7333,140.8333,14.22,75,73,3.23,JP,1698180613
139,abadan,30.3392,48.3043,22.97,49,0,1.03,IR,1698180613
140,sa'dah,16.9402,43.7639,17.77,52,58,4.12,YE,1698180613
141,ostersund,63.1792,14.6357,2.25,100,100,5.66,SE,1698180614
142,port alfred,-33.5906,26.891,13.43,87,9,0.45,ZA,1698180614
143,praia da vitoria,38.7333,-27.0667,22.14,83,40,6.03,PT,1698180614
144,liwale,-9.7667,37.9333,21.67,82,83,1.98,TZ,1698180614
145,hammerfest,70.6634,23.6821,-3.75,74,0,2.06,NO,1698180614
